MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Hp,,,intel,i5,4,,,,,,noir,1.5,,"2,900.00 Dhs",4.7 out of 5
Hp,3,ddr3,intel,i5,4,,,128.0,ssd,7200000.0,noiretargent,2,"14""","1,899.00 Dhs",3 out of 5
Hp,3,ddr3,intel,i5,4,,,,,500.0,noiretargent,1.6,"14""","1,899.00 Dhs",1 out of 5
Hp,41,ddr4,intel,i7,7,,,256.0,ssd,,gris,1.5,,"3,400.00 Dhs",0 out of 5
Lenovo,16go,,intel,,,descriptiondela:intégrée,,512.0,ssd,,noir,1,14pouce,"4,599.00 Dhs",0 out of 5
DELL,,,,,,,,,,,,,,"2,950.00 Dhs",0 out of 5
DELL,16go,ddr4,intel,i5,8,:inteluhdgraphics620,,512.0,ssd,,noir,1.2,"14""","3,400.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6,:intelhd520,,256.0,ssd,,noir,1.95,,"1,699.90 Dhs",3 out of 5
Lenovo,16gb,ddr4,intel,i7,12,:integratedinteliris®xegraphicsfunctionsasuhdgraphics,,512.0,ssd,,noir,1.7,"14""","8,900.00 Dhs",0 out of 5
Hp,8go,,intel,i7,7,,,256.0,ssd,,noiretargent,2,6cm,"3,599.00 Dhs",0 out of 5
DELL,16go,ddr3,intel,i5,4,nombred'affichagesprisenchargeparlaintégrée:3,,,hdd,7200000.0,noir,1.81,6cm,"2,199.00 Dhs",3.7 out of 5
Lenovo,8go,,intel,i5,4,:intelhdgraphics5500,,128.0,ssd,,noir,2.5,8cm,"1,999.00 Dhs",0 out of 5
Hp,4,ddr4,intel,i5,8,,,,ssd,256.0,gris,1.5,,"3,450.00 Dhs",0 out of 5
Lenovo,2,ddr4,intel,i5,5,,,512.0,ssd,,noir,1,"14""","3,699.00 Dhs",5 out of 5
Hp,16go,,intel,,4,,,,ssd,,noir,2.36,"16""","12,999.00 Dhs",0 out of 5
Asus,,,,,,,,,,,gris,1,"6""","1,999.00 Dhs",0 out of 5
Lenovo,16go,ddr3,intel,i5,5,,,,ssd,,noir,2,"14""","2,399.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,10,:inteluhdgraphics,,512.0,ssd,,gris,2,3pouce,"7,999.00 Dhs",0 out of 5
DELL,3,ddr3,intel,i5,4,:intelhdgraphics4400,,128.0,ssd,,noiretargent,1.6,"5""","3,999.00 Dhs",3 out of 5
Hp,4,ddr4,intel,i5,8,,,,ssd,256.0,,1.5,,"3,550.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i5,8,intégrée:oui,,256.0,ssd,256.0,gris,1.5,"3""","3,400.00 Dhs",4 out of 5
DELL,16go,,intel,i5,4,nombred'affichagesprisenchargeparlaintégrée:3,,,hdd,7200000.0,noir,2.5,6cm,"3,299.00 Dhs",0 out of 5
DELL,32go,,intel,i7,13,:intel®iris®xegraphics,,1000.0,ssd,,,1.26,,"26,643.00 Dhs",0 out of 5
JEMCO,3,ddr3,intel,,3,typede:carteintégrée,,256.0,ssd,,gris,1.2,14pouce,"1,990.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,grismétallisé,,"5""","2,299.00 Dhs",1 out of 5
Hp,8go,ddr4,intel,i5,6,,,,,,gris,1.28,,"2,360.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i5,8,intégrée:oui,,256.0,ssd,256.0,argentetnoir,1.48,"14""","3,299.00 Dhs",0 out of 5
DELL,16,ddr4,intel,i7,11,:intel®iris®xegraphics,,512.0,ssd,,,1.46,"0""","19,160.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics,,,,,noir,1.6,"14""","2,199.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,,,,,bleu,2,"6""","2,140.00 Dhs",5 out of 5
Hp,1,ddr3,intel,i5,4,iddelaintégrée:0x1616,,,hdd,500.0,noir,1.35,8cm,"1,999.00 Dhs",4.5 out of 5
Acer,2go,,intel,,3,:intelhd,,,,32.0,blanc,1.6,6pouce,"1,499.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,840.0,ssd,,gris,1,"14""","2,999.99 Dhs",0 out of 5
Hp,48gb,ddr4,intel,i5,5,,,256.0,ssd,,gris,1.5,,"2,300.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,5,:intelhdgraphics,,256.0,ssd,,noir,1.6,"14""","3,299.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i7,6,:intelhdgraphics520,,256.0,ssd,,argentetnoir,1.6,,"2,735.00 Dhs",0 out of 5
Hp,48gb,ddr4,intel,i5,5,,,256.0,ssd,,gris,1.5,,"2,300.00 Dhs",0 out of 5
Infinix,16go,,intel,i7,10,,,512.0,ssd,,vert,":1,48kg",14pouce,"7,900.00 Dhs",0 out of 5
Lenovo,4gb,ddr4,intel,i3,10,:intel®uhd620,1000.0,,hdd,,grisfer,1.85,,"3,299.00 Dhs",3.9 out of 5
Lenovo,4gb,ddr4,,,,:inteluhdgraphics600,1000.0,,hdd,,abyssblue,1.5,"6""","2,750.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,8,:inteluhdgraphics,,512.0,ssd,,gris,2.6,14pouce,"5,999.00 Dhs",0 out of 5
