RAM,typeRam,CPU_Modifier,CPU_Generation,STOCKAGEHDD,STOCKAGESSD,POIDS,PRIX,_Accent,_Acer,_Apple,_Asus,_Bluetooth,_DELL,_Fujitsu,_Hb,_Hp,_Infinix,_JEMCO,_Kingston,_Latitude,_Lenovo,_Medion,_Microsoft,_Mini,_Msi,_Razer,_Samsung,_Table,_Think,_Toshiba,,intel,amd,ryzen,_amd,_intel,_Intel HD Graphiques,_amd radeon graphique integré,_carte graphiques intégré,_intel hd 520,_intel hd 620,_intel hd graphics 4400,_intel hd graphics 5500,_intel iris xe,_intel uhd 600,COULEUR_blanc,COULEUR_bleu,COULEUR_gris,COULEUR_noir,COULEUR_noirgris,COULEUR_rose
8,1.0,5,5.0,0.0,32.0,15,2099.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.0,5,4.0,500.0,0.0,2,1745.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,2.0,5,6.0,0.0,0.0,15,2900.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,1.0,3,4.0,1000.0,0.0,2,2145.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,2.0,3,6.0,0.0,0.0,2,1912.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,1.0,5,5.0,0.0,32.0,15,2349.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.0,5,5.0,500.0,0.0,16,1999.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,2.0,5,7.0,0.0,512.0,14,4695.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,2.0,3,6.0,0.0,0.0,2,1912.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,2.0,5,6.0,0.0,256.0,,2520.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,1.0,5,5.0,0.0,32.0,1,2199.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,1.0,5,5.0,0.0,500.0,2,2099.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.0,3,4.0,0.0,0.0,242,1599.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.0,,4.0,128.0,0.0,15,2550.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
