MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,490.00 Dhs",3.4 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,580.00 Dhs",2 out of 5
Lenovo,8go,ddr4,intel,i5,5.0,carte graphique : intel hd graphics 5500,,,ssd,500.0,noir,1.42,8cm,"2,199.00 Dhs",1 out of 5
Lenovo,8go,ddr4,intel,i5,6.0,carte graphique : intel® hd graphics 520,,256.0,ssd,,noir,1.5,"14""","2,399.00 Dhs",3.5 out of 5
Hp,8go,ddr3,intel,i5,5.0,id de la carte graphique intégrée	  :   0x1616,,,hdd,500.0,noir,1.6,8cm,"1,849.00 Dhs",4 out of 5
Hp,16go,ddr4,intel,i7,6.0,,,512.0,ssd,,gris,1.5,,"4,220.00 Dhs",0 out of 5
Lenovo,16go,ddr3,intel,i5,5.0,carte graphique : intel® hd graphics 5500,,,,,noir,1.63,,"2,300.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6.0, :  intel hd 520,,,,,argentnoir,1.95,,"1,699.00 Dhs",0 out of 5
Asus,8go,ddr4,intel,i5,11.0,carte graphique: nvidia® geforce® mx330 2go,,512.0,ssd,,gris,1.8,"6""","5,690.00 Dhs",0 out of 5
Infinix,8go,,,,,,,512.0,ssd,,green,1,14pouce,"6,400.00 Dhs",5 out of 5
Hp,16gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,799.00 Dhs",1 out of 5
Asus,16go,ddr4,intel,i7,12.0,"carte graphique nvidia ada lovelace geforce rtx 4050 6 go gddr6 dédiés, intel iris xe intégrée au processeur et nvidia optimus",,,ssd,,noir,2.2,,"15,499.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i7,6.0,,,256.0,ssd,,noiretargent,1.6,,"3,499.00 Dhs",4 out of 5
Hp,16go,ddr4,intel,i7,6.0,carte graphique : intel hd graphics 520,,512.0,ssd,,,1,,"3,400.00 Dhs",4.3 out of 5
Hp,16go,ddr4,intel,i5,6.0,,,256.0,ssd,,gris,1.28,,"2,490.00 Dhs",3.7 out of 5
Hp,4go,ddr4,intel,i3,6.0, :  intel hd 520,,,,,noir,1.95,,"1,650.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,256.0,ssd,,,1.54,,"2,490.00 Dhs",3.3 out of 5
Hp,16go,,intel,i5,6.0,résolution maximum (displayport) de la carte graphique intégrée : 4096 x 2304 pixels,,512.0,ssd,,argentetnoir,1.6,6cm,"3,095.00 Dhs",0 out of 5
DELL,8go,ddr4,intel,i5,7.0,carte graphique : intel hd graphics 620,,256.0,ssd,,noir,2,12pouce,"3,600.00 Dhs",0 out of 5
Lenovo,16go,,intel,i7,7.0,description de la carte graphique    :     intégrée,,256.0,ssd,,noir,1.6,14pouce,"3,899.00 Dhs",1 out of 5
Hp,16go,ddr4,intel,i5,6.0,,,512.0,ssd,,noiretargent,1.6,,"3,199.00 Dhs",3 out of 5
DELL,8gb,ddr4,intel,i5,11.0,carte graphique: intel iris xe graphics,,256.0,ssd,,argent,1.37,,"6,800.00 Dhs",0 out of 5
Hp,8go,,,,,résolution maximum (hdmi) de carte graphique intégrée : 4096 x 2304 pixels,,,,,argentetnoir,1.6,6cm,"2,099.00 Dhs",4 out of 5
Hp,8go,ddr3,intel,i3,4.0,contrôleur graphique intel hd graphics 4600 (intégré au processeur),,,,250.0,noiretargent,2.5,"14""","1,695.00 Dhs",4.2 out of 5
Lenovo,16go,,,,,description de la carte graphique    :     intégrée,,256.0,ssd,,noir,1.6,14pouce,"3,999.00 Dhs",5 out of 5
Hp,16go,ddr3,intel,i5,8.0,: intel hd 620,,512.0,ssd,,argent,1.28,3pouce,"4,700.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i5,4.0,,,,,500.0,noir,2,"14""","1,699.00 Dhs",3.3 out of 5
Hp,8gb,ddr3,intel,i5,5.0,,,128.0,ssd,,grisetnoir,2,,"3,999.00 Dhs",0 out of 5
Hp,16go,ddr3,intel,i3,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,1000.0,noiretargent,2,"14""","2,199.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,8.0,carte graphique intégrée  : oui,,256.0,ssd,256.0,gris,1.6,"14""","3,299.00 Dhs",0 out of 5
Lenovo,8go,ddr4,,,,carte graphique : intel hd graphics 5500,,,hdd,320.0,noir,1.42,8cm,"1,763.00 Dhs",5 out of 5
Hp,8go,ddr3,intel,i3,4.0,,,,,320.0,noir,2,"14""","1,699.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6.0, :  intel hd 520,,,,,noir,2,,"1,797.00 Dhs",4 out of 5
Hp,20gb,ddr3,intel,i3,4.0,,,,,320.0,noir,,"14""","1,890.00 Dhs",4 out of 5
Lenovo,8go,,,,,description de la carte graphique    :     intégrée,,512.0,ssd,,noir,1.5,14pouce,"3,600.00 Dhs",0 out of 5
DELL,16go,,,,,,,,,256.0,noir,1.5,,"2,500.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4.0,carte graphique  intel® uhd 600,,,,,noir,1,"6""","1,990.00 Dhs",5 out of 5
Hp,8go,ddr4,intel,i5,8.0,,,256.0,ssd,,argent,1,"3""","3,200.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6.0, :  intel hd 520,,,,,noir,1.95,,"1,699.99 Dhs",1 out of 5
Hp,8go,ddr4,intel,i5,6.0,carte graphique : intel® hd graphics 520,,256.0,ssd,,,1.48,"14""","2,599.00 Dhs",3 out of 5
Lenovo,16go,ddr3,intel,i5,5.0,,,,ssd,,noir,2,"14""","2,460.00 Dhs",4 out of 5
Hp,4go,ddr3,,,,,,,,,noir,2,"14""","1,750.00 Dhs",0 out of 5
Hp,,,intel,i5,4.0,,,,,,noir,1.5,,"2,900.00 Dhs",4.7 out of 5
Hp,8go,ddr3,intel,i5,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,128.0,ssd,7200000.0,noiretargent,2,"14""","1,899.00 Dhs",3 out of 5
Hp,8go,ddr3,intel,i5,4.0,contrôleur graphique intel hd graphics 4600 (intégré au processeur),,,,500.0,noiretargent,1.6,"14""","1,899.00 Dhs",1 out of 5
Hp,16gb,ddr4,intel,i7,7.0,,,256.0,ssd,,gris,1.5,,"3,400.00 Dhs",0 out of 5
Lenovo,16go,,,,,description de la carte graphique    :     intégrée,,512.0,ssd,,noir,1,14pouce,"4,599.00 Dhs",0 out of 5
DELL,,,,,,,,,,,,,,"2,950.00 Dhs",0 out of 5
DELL,16go,ddr4,intel,i5,8.0,: intel uhd graphics 620,,512.0,ssd,,noir,1.2,"14""","3,400.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i3,6.0, :  intel hd 520,,256.0,ssd,,noir,1.95,,"1,699.90 Dhs",3 out of 5
Lenovo,16gb,ddr4,intel,i7,12.0,carte graphique: integrated intel iris® xe graphics functions as uhd graphics,,512.0,ssd,,noir,1.7,"14""","8,900.00 Dhs",0 out of 5
Hp,8go,,intel,i7,7.0,,,256.0,ssd,,noiretargent,2,6cm,"3,599.00 Dhs",0 out of 5
DELL,16go,ddr3,intel,i5,5.0,nombre d'affichages pris en charge par la carte graphique intégrée :   3,,,hdd,7200000.0,noir,1.81,6cm,"2,199.00 Dhs",3.7 out of 5
Lenovo,8go,,intel,i5,4.0,carte graphique : intel hd graphics 5500,,128.0,ssd,,noir,2.5,8cm,"1,999.00 Dhs",0 out of 5
Hp,16go,ddr4,,,,,,,ssd,256.0,gris,1.5,,"3,450.00 Dhs",0 out of 5
Lenovo,16go,ddr4,intel,i5,5.0,,,512.0,ssd,,noir,1,"14""","3,699.00 Dhs",5 out of 5
Hp,16go,,intel,i5,13.0,,,,ssd,,noir,2.36,"16""","12,999.00 Dhs",0 out of 5
